Race	Stage	Year of diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
Black	Distant	2000	00 years	0.0	0	164743	3794901
Black	Distant	2000	01-04 years	0.0	0	663904	15191619
Black	Distant	2000	05-09 years	0.0	0	925227	19919840
Black	Distant	2000	10-14 years	0.0	0	895312	20056779
Black	Distant	2000	15-19 years	0.0	0	811534	19819518
Black	Distant	2000	20-24 years	0.0	0	738949	18257225
Black	Distant	2000	25-29 years	0.3	2	721173	17722067
Black	Distant	2000	30-34 years	0.7	5	751976	19511370
Black	Distant	2000	35-39 years	1.4	11	795045	22179956
Black	Distant	2000	40-44 years	7.6	57	748688	22479229
Black	Distant	2000	45-49 years	9.9	62	626388	19805793
Black	Distant	2000	50-54 years	15.3	77	504521	17224359
Black	Distant	2000	55-59 years	28.6	102	356213	13307234
Black	Distant	2000	60-64 years	45.2	128	283409	10654272
Black	Distant	2000	65-69 years	49.4	113	228697	9409940
Black	Distant	2000	70-74 years	65.1	121	185827	8725574
Black	Distant	2000	75-79 years	70.5	100	141925	7414559
Black	Distant	2000	80-84 years	97.4	87	89293	4900234
Black	Distant	2000	85+ years	89.1	71	79721	4259173
Black	Distant	2001	00 years	0.0	0	167142	3794901
Black	Distant	2001	01-04 years	0.0	0	659603	15191619
Black	Distant	2001	05-09 years	0.0	0	904459	19919840
Black	Distant	2001	10-14 years	0.0	0	924241	20056779
Black	Distant	2001	15-19 years	0.0	0	823182	19819518
Black	Distant	2001	20-24 years	0.0	0	766761	18257225
Black	Distant	2001	25-29 years	0.1	1	702859	17722067
Black	Distant	2001	30-34 years	0.8	6	753996	19511370
Black	Distant	2001	35-39 years	1.8	14	793026	22179956
Black	Distant	2001	40-44 years	5.6	43	763121	22479229
Black	Distant	2001	45-49 years	10.8	70	646157	19805793
Black	Distant	2001	50-54 years	14.8	80	540526	17224359
Black	Distant	2001	55-59 years	27.4	101	368676	13307234
Black	Distant	2001	60-64 years	40.0	116	290301	10654272
Black	Distant	2001	65-69 years	53.5	126	235420	9409940
Black	Distant	2001	70-74 years	65.9	123	186675	8725574
Black	Distant	2001	75-79 years	83.1	120	144364	7414559
Black	Distant	2001	80-84 years	75.2	69	91810	4900234
Black	Distant	2001	85+ years	84.2	66	78405	4259173
Black	Distant	2002	00 years	0.0	0	162100	3794901
Black	Distant	2002	01-04 years	0.0	0	661088	15191619
Black	Distant	2002	05-09 years	0.0	0	885018	19919840
Black	Distant	2002	10-14 years	0.0	0	949627	20056779
Black	Distant	2002	15-19 years	0.0	0	836137	19819518
Black	Distant	2002	20-24 years	0.3	2	786899	18257225
Black	Distant	2002	25-29 years	0.1	1	695112	17722067
Black	Distant	2002	30-34 years	1.6	12	755444	19511370
Black	Distant	2002	35-39 years	2.0	16	782384	22179956
Black	Distant	2002	40-44 years	5.6	43	771724	22479229
Black	Distant	2002	45-49 years	12.0	81	673219	19805793
Black	Distant	2002	50-54 years	19.0	106	558587	17224359
Black	Distant	2002	55-59 years	32.8	130	395955	13307234
Black	Distant	2002	60-64 years	40.1	120	299612	10654272
Black	Distant	2002	65-69 years	44.5	107	240268	9409940
Black	Distant	2002	70-74 years	55.0	104	189262	8725574
Black	Distant	2002	75-79 years	62.6	91	145482	7414559
Black	Distant	2002	80-84 years	85.6	81	94614	4900234
Black	Distant	2002	85+ years	82.1	64	78001	4259173
Black	Distant	2003	00 years	0.0	0	160463	3794901
Black	Distant	2003	01-04 years	0.0	0	659715	15191619
Black	Distant	2003	05-09 years	0.0	0	867402	19919840
Black	Distant	2003	10-14 years	0.0	0	966462	20056779
Black	Distant	2003	15-19 years	0.1	1	855732	19819518
Black	Distant	2003	20-24 years	0.3	2	797189	18257225
Black	Distant	2003	25-29 years	0.1	1	693816	17722067
Black	Distant	2003	30-34 years	1.2	9	750239	19511370
Black	Distant	2003	35-39 years	1.4	11	769826	22179956
Black	Distant	2003	40-44 years	6.8	53	779776	22479229
Black	Distant	2003	45-49 years	10.2	71	697064	19805793
Black	Distant	2003	50-54 years	20.0	115	576247	17224359
Black	Distant	2003	55-59 years	25.4	107	422061	13307234
Black	Distant	2003	60-64 years	40.0	125	312368	10654272
Black	Distant	2003	65-69 years	52.4	129	246112	9409940
Black	Distant	2003	70-74 years	57.8	111	192195	8725574
Black	Distant	2003	75-79 years	67.4	99	146852	7414559
Black	Distant	2003	80-84 years	71.3	69	96828	4900234
Black	Distant	2003	85+ years	78.9	62	78601	4259173
Black	Distant	2004	00 years	0.0	0	160577	3794901
Black	Distant	2004	01-04 years	0.0	0	658008	15191619
Black	Distant	2004	05-09 years	0.0	0	852995	19919840
Black	Distant	2004	10-14 years	0.0	0	970063	20056779
Black	Distant	2004	15-19 years	0.2	2	883103	19819518
Black	Distant	2004	20-24 years	0.4	3	808624	18257225
Black	Distant	2004	25-29 years	0.4	3	711179	17722067
Black	Distant	2004	30-34 years	1.3	10	743806	19511370
Black	Distant	2004	35-39 years	2.6	20	756246	22179956
Black	Distant	2004	40-44 years	3.9	31	788937	22479229
Black	Distant	2004	45-49 years	10.2	73	715438	19805793
Black	Distant	2004	50-54 years	18.8	112	596177	17224359
Black	Distant	2004	55-59 years	26.8	121	451821	13307234
Black	Distant	2004	60-64 years	41.9	136	324594	10654272
Black	Distant	2004	65-69 years	48.4	122	251828	9409940
Black	Distant	2004	70-74 years	58.8	115	195614	8725574
Black	Distant	2004	75-79 years	74.1	109	147197	7414559
Black	Distant	2004	80-84 years	84.0	83	98846	4900234
Black	Distant	2004	85+ years	90.7	72	79367	4259173
Black	Distant	2005	00 years	0.0	0	147766	3794901
Black	Distant	2005	01-04 years	0.0	0	604476	15191619
Black	Distant	2005	05-09 years	0.0	0	781492	19919840
Black	Distant	2005	10-14 years	0.1	1	887482	20056779
Black	Distant	2005	15-19 years	0.0	0	848108	19819518
Black	Distant	2005	20-24 years	0.5	4	741417	18257225
Black	Distant	2005	25-29 years	0.7	5	678222	17722067
Black	Distant	2005	30-34 years	1.6	11	680374	19511370
Black	Distant	2005	35-39 years	2.4	17	703852	22179956
Black	Distant	2005	40-44 years	5.0	37	737272	22479229
Black	Distant	2005	45-49 years	10.2	70	684090	19805793
Black	Distant	2005	50-54 years	17.1	97	568433	17224359
Black	Distant	2005	55-59 years	24.2	109	450948	13307234
Black	Distant	2005	60-64 years	45.9	142	309667	10654272
Black	Distant	2005	65-69 years	53.2	127	238833	9409940
Black	Distant	2005	70-74 years	46.8	86	183905	8725574
Black	Distant	2005	75-79 years	69.1	95	137529	7414559
Black	Distant	2005	80-84 years	84.5	78	92269	4900234
Black	Distant	2005	85+ years	93.3	71	76079	4259173
Black	Distant	2006	00 years	0.0	0	158918	3794901
Black	Distant	2006	01-04 years	0.0	0	644874	15191619
Black	Distant	2006	05-09 years	0.0	0	833259	19919840
Black	Distant	2006	10-14 years	0.0	0	926401	20056779
Black	Distant	2006	15-19 years	0.1	1	935953	19819518
Black	Distant	2006	20-24 years	0.2	2	801496	18257225
Black	Distant	2006	25-29 years	0.4	3	744424	17722067
Black	Distant	2006	30-34 years	1.0	7	701756	19511370
Black	Distant	2006	35-39 years	2.8	21	747341	22179956
Black	Distant	2006	40-44 years	5.5	43	781280	22479229
Black	Distant	2006	45-49 years	9.7	72	743059	19805793
Black	Distant	2006	50-54 years	20.3	128	630325	17224359
Black	Distant	2006	55-59 years	25.4	131	516657	13307234
Black	Distant	2006	60-64 years	34.2	117	342230	10654272
Black	Distant	2006	65-69 years	46.8	123	262911	9409940
Black	Distant	2006	70-74 years	61.7	125	202602	8725574
Black	Distant	2006	75-79 years	56.0	83	148109	7414559
Black	Distant	2006	80-84 years	72.6	73	100617	4900234
Black	Distant	2006	85+ years	90.5	76	84022	4259173
Black	Distant	2007	00 years	0.0	0	171087	3794901
Black	Distant	2007	01-04 years	0.0	0	650645	15191619
Black	Distant	2007	05-09 years	0.0	0	836558	19919840
Black	Distant	2007	10-14 years	0.0	0	913498	20056779
Black	Distant	2007	15-19 years	0.1	1	963705	19819518
