Year of diagnosis	Summary stage 2000 (1998+)	Age-Adjusted Rate	Count	Population	Std Pop	Sex
2000	1	21.2	15340	78996813	274633642	0
2000	2	20.0	14457	78996813	274633642	0
2000	3	9.4	6855	78996813	274633642	0
2001	1	21.2	15539	79867817	274633642	0
2001	2	19.8	14550	79867817	274633642	0
2001	3	9.5	7044	79867817	274633642	0
2002	1	21.0	15685	80629975	274633642	0
2002	2	19.0	14250	80629975	274633642	0
2002	3	9.7	7282	80629975	274633642	0
2003	1	20.3	15516	81347854	274633642	0
2003	2	18.5	14151	81347854	274633642	0
2003	3	9.4	7232	81347854	274633642	0
2004	1	19.7	15293	82055585	274633642	0
2004	2	17.8	13823	82055585	274633642	0
2004	3	9.3	7303	82055585	274633642	0
2005	1	19.6	15105	80414394	274633642	0
2005	2	17.1	13190	80414394	274633642	0
2005	3	9.2	7134	80414394	274633642	0
2006	1	19.2	15467	83099557	274633642	0
2006	2	16.6	13366	83099557	274633642	0
2006	3	9.0	7331	83099557	274633642	0
2007	1	19.1	15777	83810676	274633642	0
2007	2	16.4	13554	83810676	274633642	0
2007	3	8.8	7295	83810676	274633642	0
2008	1	18.8	15838	84618783	274633642	0
2008	2	15.9	13342	84618783	274633642	0
2008	3	8.8	7453	84618783	274633642	0
2009	1	18.0	15515	85402713	274633642	0
2009	2	15.2	13058	85402713	274633642	0
2009	3	8.6	7482	85402713	274633642	0
2010	1	16.7	14770	86160539	274633642	0
2010	2	14.6	12844	86160539	274633642	0
2010	3	8.5	7547	86160539	274633642	0
2011	1	16.0	14436	86864476	274633642	0
2011	2	14.1	12708	86864476	274633642	0
2011	3	8.4	7622	86864476	274633642	0
2012	1	15.8	14599	87543781	274633642	0
2012	2	13.9	12854	87543781	274633642	0
2012	3	8.1	7587	87543781	274633642	0
2013	1	15.2	14381	88197699	274633642	0
2013	2	13.3	12537	88197699	274633642	0
2013	3	8.1	7700	88197699	274633642	0
2014	1	15.2	14808	88887637	274633642	0
2014	2	13.2	12741	88887637	274633642	0
2014	3	8.2	8005	88887637	274633642	0
