Stage	Age Category	Year of Diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
1	1	2000	0	0.0	0	1123953	3794901
1	1	2000	1	0.0	0	4493645	15191619
1	1	2000	2	0.0	0	6014762	19919840
1	1	2000	3	0.0	0	5906367	20056779
1	1	2000	4	0.1	3	5686059	19819518
1	1	2000	5	0.2	10	5432644	18257225
1	1	2000	6	0.6	33	5623783	17722067
1	1	2000	7	1.4	84	6010662	19511370
1	1	2000	8	2.6	166	6472872	22179956
1	1	2000	9	4.9	307	6317668	22479229
1	1	2000	10	10.4	583	5600622	19805793
1	2	2000	11	20.9	1021	4887550	17224359
1	2	2000	12	31.8	1158	3642175	13307234
1	2	2000	13	52.4	1485	2835963	10654272
1	3	2000	14	81.3	1982	2438122	9409940
1	3	2000	15	100.0	2250	2250088	8725574
1	3	2000	16	137.6	2632	1912863	7414559
1	3	2000	17	154.4	1962	1271099	4900234
1	3	2000	18	154.7	1664	1075916	4259173
1	1	2001	0	0.0	0	1173129	3794901
1	1	2001	1	0.0	0	4461077	15191619
1	1	2001	2	0.0	0	5921466	19919840
1	1	2001	3	0.0	1	6039438	20056779
1	1	2001	4	0.0	2	5724743	19819518
1	1	2001	5	0.3	15	5625901	18257225
1	1	2001	6	0.6	31	5510211	17722067
1	1	2001	7	1.2	74	6053687	19511370
1	1	2001	8	2.4	153	6381699	22179956
1	1	2001	9	4.9	316	6406429	22479229
1	1	2001	10	10.0	574	5741721	19805793
1	2	2001	11	21.1	1080	5125958	17224359
1	2	2001	12	32.8	1238	3770621	13307234
1	2	2001	13	52.2	1520	2914101	10654272
1	3	2001	14	80.1	1961	2448484	9409940
1	3	2001	15	104.3	2337	2241129	8725574
1	3	2001	16	135.6	2597	1915556	7414559
1	3	2001	17	144.6	1907	1318613	4900234
1	3	2001	18	158.4	1733	1093854	4259173
1	1	2002	0	0.0	0	1155177	3794901
1	1	2002	1	0.0	0	4501200	15191619
1	1	2002	2	0.0	1	5817114	19919840
1	1	2002	3	0.0	1	6150915	20056779
1	1	2002	4	0.1	5	5770911	19819518
1	1	2002	5	0.2	9	5762504	18257225
1	1	2002	6	0.5	26	5471944	17722067
1	1	2002	7	1.4	86	6047363	19511370
1	1	2002	8	2.7	168	6261179	22179956
1	1	2002	9	5.1	327	6439153	22479229
1	1	2002	10	9.7	573	5903564	19805793
1	2	2002	11	22.6	1160	5140748	17224359
1	2	2002	12	33.2	1359	4094161	13307234
1	2	2002	13	50.0	1513	3027382	10654272
1	3	2002	14	76.2	1883	2470774	9409940
1	3	2002	15	103.4	2300	2223927	8725574
1	3	2002	16	131.2	2512	1914270	7414559
1	3	2002	17	150.7	2056	1364730	4900234
1	3	2002	18	153.3	1706	1112959	4259173
1	1	2003	0	0.0	0	1167353	3794901
1	1	2003	1	0.0	0	4538931	15191619
1	1	2003	2	0.0	0	5723028	19919840
1	1	2003	3	0.0	1	6218900	20056779
1	1	2003	4	0.1	5	5836843	19819518
1	1	2003	5	0.3	19	5843252	18257225
1	1	2003	6	0.6	32	5486864	17722067
1	1	2003	7	1.2	74	5983870	19511370
1	1	2003	8	2.8	171	6145730	22179956
1	1	2003	9	4.7	306	6454280	22479229
1	1	2003	10	9.7	583	6040156	19805793
1	2	2003	11	22.3	1169	5240686	17224359
1	2	2003	12	32.3	1382	4283589	13307234
1	2	2003	13	49.0	1566	3198860	10654272
1	3	2003	14	75.1	1895	2524001	9409940
1	3	2003	15	97.5	2152	2206943	8725574
1	3	2003	16	126.5	2421	1914009	7414559
1	3	2003	17	146.4	2046	1397935	4900234
1	3	2003	18	148.3	1694	1142624	4259173
1	1	2004	0	0.1	1	1172686	3794901
1	1	2004	1	0.0	0	4583485	15191619
1	1	2004	2	0.0	0	5643903	19919840
1	1	2004	3	0.0	2	6231354	20056779
1	1	2004	4	0.1	7	5936630	19819518
1	1	2004	5	0.4	25	5909181	18257225
1	1	2004	6	0.6	34	5573085	17722067
1	1	2004	7	1.3	76	5884695	19511370
1	1	2004	8	2.5	149	6049887	22179956
1	1	2004	9	4.5	292	6477140	22479229
1	1	2004	10	10.2	625	6131734	19805793
1	2	2004	11	23.5	1259	5368022	17224359
1	2	2004	12	30.7	1382	4494532	13307234
1	2	2004	13	46.5	1551	3332349	10654272
1	3	2004	14	72.4	1870	2583068	9409940
1	3	2004	15	93.7	2052	2189003	8725574
1	3	2004	16	122.3	2322	1898091	7414559
1	3	2004	17	143.6	2057	1432237	4900234
1	3	2004	18	136.5	1589	1164503	4259173
1	1	2005	0	0.0	0	1136051	3794901
1	1	2005	1	0.0	0	4486608	15191619
1	1	2005	2	0.0	0	5429324	19919840
1	1	2005	3	0.0	1	6007382	20056779
1	1	2005	4	0.2	9	5889330	19819518
1	1	2005	5	0.2	11	5736685	18257225
1	1	2005	6	0.7	37	5527856	17722067
1	1	2005	7	1.3	72	5591393	19511370
1	1	2005	8	2.6	155	5883370	22179956
1	1	2005	9	5.6	348	6249039	22479229
1	1	2005	10	9.7	588	6057136	19805793
1	2	2005	11	24.0	1280	5343760	17224359
1	2	2005	12	32.4	1489	4600833	13307234
1	2	2005	13	47.9	1604	3350764	10654272
1	3	2005	14	68.8	1763	2561897	9409940
1	3	2005	15	94.6	2010	2124936	8725574
1	3	2005	16	116.9	2153	1842131	7414559
1	3	2005	17	136.6	1934	1415603	4900234
1	3	2005	18	139.9	1651	1180301	4259173
1	1	2006	0	0.0	0	1160852	3794901
1	1	2006	1	0.0	0	4583974	15191619
1	1	2006	2	0.0	0	5572891	19919840
1	1	2006	3	0.0	1	6086664	20056779
1	1	2006	4	0.1	5	6154466	19819518
1	1	2006	5	0.3	18	5890891	18257225
1	1	2006	6	0.5	32	5818474	17722067
1	1	2006	7	1.4	79	5580486	19511370
1	1	2006	8	2.3	139	6044427	22179956
1	1	2006	9	5.9	374	6297825	22479229
1	1	2006	10	10.4	653	6285693	19805793
1	2	2006	11	23.5	1319	5623573	17224359
1	2	2006	12	29.5	1461	4946510	13307234
1	2	2006	13	44.4	1580	3559967	10654272
1	3	2006	14	72.9	1970	2703241	9409940
1	3	2006	15	94.0	2061	2192274	8725574
1	3	2006	16	117.1	2208	1885792	7414559
1	3	2006	17	133.1	1938	1455580	4900234
