Summary stage 2000 (1998+)	Race recode (W, B, AI, API)	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Localized	Black	2000	00 years	0.0	0	164743	3794901
Localized	Black	2000	01-04 years	0.0	0	663904	15191619
Localized	Black	2000	05-09 years	0.0	0	925227	19919840
Localized	Black	2000	10-14 years	0.0	0	895312	20056779
Localized	Black	2000	15-19 years	0.0	0	811534	19819518
Localized	Black	2000	20-24 years	0.3	2	738949	18257225
Localized	Black	2000	25-29 years	0.7	5	721173	17722067
Localized	Black	2000	30-34 years	1.7	13	751976	19511370
Localized	Black	2000	35-39 years	3.9	31	795045	22179956
Localized	Black	2000	40-44 years	5.2	39	748688	22479229
Localized	Black	2000	45-49 years	12.1	76	626388	19805793
Localized	Black	2000	50-54 years	23.2	117	504521	17224359
Localized	Black	2000	55-59 years	37.6	134	356213	13307234
Localized	Black	2000	60-64 years	63.5	180	283409	10654272
Localized	Black	2000	65-69 years	82.6	189	228697	9409940
Localized	Black	2000	70-74 years	84.5	157	185827	8725574
Localized	Black	2000	75-79 years	134.6	191	141925	7414559
Localized	Black	2000	80-84 years	146.7	131	89293	4900234
Localized	Black	2000	85+ years	145.5	116	79721	4259173
Localized	Black	2001	00 years	0.0	0	167142	3794901
Localized	Black	2001	01-04 years	0.0	0	659603	15191619
Localized	Black	2001	05-09 years	0.0	0	904459	19919840
Localized	Black	2001	10-14 years	0.0	0	924241	20056779
Localized	Black	2001	15-19 years	0.0	0	823182	19819518
Localized	Black	2001	20-24 years	0.7	5	766761	18257225
Localized	Black	2001	25-29 years	1.1	8	702859	17722067
Localized	Black	2001	30-34 years	0.4	3	753996	19511370
Localized	Black	2001	35-39 years	3.5	28	793026	22179956
Localized	Black	2001	40-44 years	5.5	42	763121	22479229
Localized	Black	2001	45-49 years	13.2	85	646157	19805793
Localized	Black	2001	50-54 years	26.8	145	540526	17224359
Localized	Black	2001	55-59 years	43.7	161	368676	13307234
Localized	Black	2001	60-64 years	63.4	184	290301	10654272
Localized	Black	2001	65-69 years	85.4	201	235420	9409940
Localized	Black	2001	70-74 years	97.0	181	186675	8725574
Localized	Black	2001	75-79 years	135.1	195	144364	7414559
Localized	Black	2001	80-84 years	159.0	146	91810	4900234
Localized	Black	2001	85+ years	130.1	102	78405	4259173
Localized	Black	2002	00 years	0.0	0	162100	3794901
Localized	Black	2002	01-04 years	0.0	0	661088	15191619
Localized	Black	2002	05-09 years	0.0	0	885018	19919840
Localized	Black	2002	10-14 years	0.0	0	949627	20056779
Localized	Black	2002	15-19 years	0.1	1	836137	19819518
Localized	Black	2002	20-24 years	0.1	1	786899	18257225
Localized	Black	2002	25-29 years	0.1	1	695112	17722067
Localized	Black	2002	30-34 years	1.5	11	755444	19511370
Localized	Black	2002	35-39 years	2.4	19	782384	22179956
Localized	Black	2002	40-44 years	5.4	42	771724	22479229
Localized	Black	2002	45-49 years	11.6	78	673219	19805793
Localized	Black	2002	50-54 years	31.7	177	558587	17224359
Localized	Black	2002	55-59 years	35.4	140	395955	13307234
Localized	Black	2002	60-64 years	68.8	206	299612	10654272
Localized	Black	2002	65-69 years	78.7	189	240268	9409940
Localized	Black	2002	70-74 years	102.0	193	189262	8725574
Localized	Black	2002	75-79 years	133.3	194	145482	7414559
Localized	Black	2002	80-84 years	154.3	146	94614	4900234
Localized	Black	2002	85+ years	141.0	110	78001	4259173
Localized	Black	2003	00 years	0.0	0	160463	3794901
Localized	Black	2003	01-04 years	0.0	0	659715	15191619
Localized	Black	2003	05-09 years	0.0	0	867402	19919840
Localized	Black	2003	10-14 years	0.0	0	966462	20056779
Localized	Black	2003	15-19 years	0.0	0	855732	19819518
Localized	Black	2003	20-24 years	0.4	3	797189	18257225
Localized	Black	2003	25-29 years	0.6	4	693816	17722067
Localized	Black	2003	30-34 years	1.2	9	750239	19511370
Localized	Black	2003	35-39 years	3.0	23	769826	22179956
Localized	Black	2003	40-44 years	6.5	51	779776	22479229
Localized	Black	2003	45-49 years	12.3	86	697064	19805793
Localized	Black	2003	50-54 years	28.8	166	576247	17224359
Localized	Black	2003	55-59 years	42.4	179	422061	13307234
Localized	Black	2003	60-64 years	62.1	194	312368	10654272
Localized	Black	2003	65-69 years	87.4	215	246112	9409940
Localized	Black	2003	70-74 years	103.5	199	192195	8725574
Localized	Black	2003	75-79 years	136.2	200	146852	7414559
Localized	Black	2003	80-84 years	129.1	125	96828	4900234
Localized	Black	2003	85+ years	159.0	125	78601	4259173
Localized	Black	2004	00 years	0.0	0	160577	3794901
Localized	Black	2004	01-04 years	0.0	0	658008	15191619
Localized	Black	2004	05-09 years	0.0	0	852995	19919840
Localized	Black	2004	10-14 years	0.0	0	970063	20056779
Localized	Black	2004	15-19 years	0.1	1	883103	19819518
Localized	Black	2004	20-24 years	0.2	2	808624	18257225
Localized	Black	2004	25-29 years	0.3	2	711179	17722067
Localized	Black	2004	30-34 years	1.7	13	743806	19511370
Localized	Black	2004	35-39 years	2.8	21	756246	22179956
Localized	Black	2004	40-44 years	7.0	55	788937	22479229
Localized	Black	2004	45-49 years	10.2	73	715438	19805793
Localized	Black	2004	50-54 years	28.2	168	596177	17224359
Localized	Black	2004	55-59 years	40.5	183	451821	13307234
Localized	Black	2004	60-64 years	61.9	201	324594	10654272
Localized	Black	2004	65-69 years	85.8	216	251828	9409940
Localized	Black	2004	70-74 years	101.7	199	195614	8725574
Localized	Black	2004	75-79 years	125.0	184	147197	7414559
Localized	Black	2004	80-84 years	154.8	153	98846	4900234
Localized	Black	2004	85+ years	110.9	88	79367	4259173
Localized	Black	2005	00 years	0.0	0	147766	3794901
Localized	Black	2005	01-04 years	0.0	0	604476	15191619
Localized	Black	2005	05-09 years	0.0	0	781492	19919840
Localized	Black	2005	10-14 years	0.0	0	887482	20056779
Localized	Black	2005	15-19 years	0.1	1	848108	19819518
Localized	Black	2005	20-24 years	0.3	2	741417	18257225
Localized	Black	2005	25-29 years	0.4	3	678222	17722067
Localized	Black	2005	30-34 years	2.1	14	680374	19511370
Localized	Black	2005	35-39 years	2.8	20	703852	22179956
Localized	Black	2005	40-44 years	4.7	35	737272	22479229
Localized	Black	2005	45-49 years	13.4	92	684090	19805793
Localized	Black	2005	50-54 years	33.2	189	568433	17224359
Localized	Black	2005	55-59 years	45.5	205	450948	13307234
Localized	Black	2005	60-64 years	57.2	177	309667	10654272
Localized	Black	2005	65-69 years	85.0	203	238833	9409940
Localized	Black	2005	70-74 years	111.5	205	183905	8725574
Localized	Black	2005	75-79 years	121.4	167	137529	7414559
Localized	Black	2005	80-84 years	129.0	119	92269	4900234
Localized	Black	2005	85+ years	109.1	83	76079	4259173
Localized	Black	2006	00 years	0.0	0	158918	3794901
