Stage	Age Category	Year of Diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
1	1	2000	0	0.0	0	1123953	3794901
1	1	2000	1	0.0	0	4493645	15191619
1	1	2000	2	0.0	0	6014762	19919840
1	1	2000	3	0.0	0	5906367	20056779
1	1	2000	4	0.1	3	5686059	19819518
1	1	2000	5	0.2	10	5432644	18257225
1	1	2000	6	0.6	33	5623783	17722067
1	1	2000	7	1.4	84	6010662	19511370
1	1	2000	8	2.6	166	6472872	22179956
1	1	2000	9	4.9	307	6317668	22479229
1	1	2000	10	10.4	583	5600622	19805793
1	1	2001	0	0.0	0	1173129	3794901
1	1	2001	1	0.0	0	4461077	15191619
1	1	2001	2	0.0	0	5921466	19919840
1	1	2001	3	0.0	1	6039438	20056779
1	1	2001	4	0.0	2	5724743	19819518
1	1	2001	5	0.3	15	5625901	18257225
1	1	2001	6	0.6	31	5510211	17722067
1	1	2001	7	1.2	74	6053687	19511370
1	1	2001	8	2.4	153	6381699	22179956
1	1	2001	9	4.9	316	6406429	22479229
1	1	2001	10	10.0	574	5741721	19805793
1	1	2002	0	0.0	0	1155177	3794901
1	1	2002	1	0.0	0	4501200	15191619
1	1	2002	2	0.0	1	5817114	19919840
1	1	2002	3	0.0	1	6150915	20056779
1	1	2002	4	0.1	5	5770911	19819518
1	1	2002	5	0.2	9	5762504	18257225
1	1	2002	6	0.5	26	5471944	17722067
1	1	2002	7	1.4	86	6047363	19511370
1	1	2002	8	2.7	168	6261179	22179956
1	1	2002	9	5.1	327	6439153	22479229
1	1	2002	10	9.7	573	5903564	19805793
1	1	2003	0	0.0	0	1167353	3794901
1	1	2003	1	0.0	0	4538931	15191619
1	1	2003	2	0.0	0	5723028	19919840
1	1	2003	3	0.0	1	6218900	20056779
1	1	2003	4	0.1	5	5836843	19819518
1	1	2003	5	0.3	19	5843252	18257225
1	1	2003	6	0.6	32	5486864	17722067
1	1	2003	7	1.2	74	5983870	19511370
1	1	2003	8	2.8	171	6145730	22179956
1	1	2003	9	4.7	306	6454280	22479229
1	1	2003	10	9.7	583	6040156	19805793
1	1	2004	0	0.1	1	1172686	3794901
1	1	2004	1	0.0	0	4583485	15191619
1	1	2004	2	0.0	0	5643903	19919840
1	1	2004	3	0.0	2	6231354	20056779
1	1	2004	4	0.1	7	5936630	19819518
1	1	2004	5	0.4	25	5909181	18257225
1	1	2004	6	0.6	34	5573085	17722067
1	1	2004	7	1.3	76	5884695	19511370
1	1	2004	8	2.5	149	6049887	22179956
1	1	2004	9	4.5	292	6477140	22479229
1	1	2004	10	10.2	625	6131734	19805793
1	1	2005	0	0.0	0	1136051	3794901
1	1	2005	1	0.0	0	4486608	15191619
1	1	2005	2	0.0	0	5429324	19919840
1	1	2005	3	0.0	1	6007382	20056779
1	1	2005	4	0.2	9	5889330	19819518
1	1	2005	5	0.2	11	5736685	18257225
1	1	2005	6	0.7	37	5527856	17722067
1	1	2005	7	1.3	72	5591393	19511370
1	1	2005	8	2.6	155	5883370	22179956
1	1	2005	9	5.6	348	6249039	22479229
1	1	2005	10	9.7	588	6057136	19805793
1	1	2006	0	0.0	0	1160852	3794901
1	1	2006	1	0.0	0	4583974	15191619
1	1	2006	2	0.0	0	5572891	19919840
1	1	2006	3	0.0	1	6086664	20056779
1	1	2006	4	0.1	5	6154466	19819518
1	1	2006	5	0.3	18	5890891	18257225
1	1	2006	6	0.5	32	5818474	17722067
1	1	2006	7	1.4	79	5580486	19511370
1	1	2006	8	2.3	139	6044427	22179956
1	1	2006	9	5.9	374	6297825	22479229
1	1	2006	10	10.4	653	6285693	19805793
1	1	2007	0	0.0	0	1196660	3794901
1	1	2007	1	0.0	0	4594421	15191619
1	1	2007	2	0.0	0	5597032	19919840
1	1	2007	3	0.0	1	6014342	20056779
1	1	2007	4	0.1	5	6248052	19819518
1	1	2007	5	0.3	17	5901284	18257225
1	1	2007	6	0.6	36	5922782	17722067
1	1	2007	7	1.2	68	5536657	19511370
1	1	2007	8	2.5	153	6031588	22179956
1	1	2007	9	5.7	353	6174095	22479229
1	1	2007	10	10.2	641	6312614	19805793
1	1	2008	0	0.0	0	1195094	3794901
1	1	2008	1	0.0	0	4637301	15191619
1	1	2008	2	0.0	0	5656971	19919840
1	1	2008	3	0.0	1	5958739	20056779
1	1	2008	4	0.1	8	6304058	19819518
1	1	2008	5	0.4	22	5936553	18257225
1	1	2008	6	0.7	40	6016049	17722067
1	1	2008	7	1.3	70	5570024	19511370
1	1	2008	8	3.2	190	5979214	22179956
1	1	2008	9	5.7	343	6066838	22479229
1	1	2008	10	10.1	636	6327512	19805793
1	1	2009	0	0.0	0	1146548	3794901
1	1	2009	1	0.0	0	4664913	15191619
1	1	2009	2	0.0	0	5739367	19919840
1	1	2009	3	0.0	0	5925524	20056779
1	1	2009	4	0.1	9	6310686	19819518
1	1	2009	5	0.4	24	6010909	18257225
1	1	2009	6	0.9	57	6059001	17722067
1	1	2009	7	1.7	96	5662291	19511370
1	1	2009	8	2.7	161	5891266	22179956
1	1	2009	9	5.7	343	5973354	22479229
1	1	2009	10	11.2	713	6352974	19805793
1	1	2010	0	0.0	0	1133096	3794901
1	1	2010	1	0.0	0	4657004	15191619
1	1	2010	2	0.0	0	5796285	19919840
1	1	2010	3	0.0	1	5915019	20056779
1	1	2010	4	0.1	7	6255772	19819518
1	1	2010	5	0.3	19	6113218	18257225
1	1	2010	6	0.8	50	6059938	17722067
1	1	2010	7	1.7	100	5782020	19511370
1	1	2010	8	2.6	152	5768546	22179956
1	1	2010	9	6.3	377	5971942	22479229
1	1	2010	10	10.2	646	6304576	19805793
1	1	2011	0	0.0	0	1143721	3794901
1	1	2011	1	0.0	0	4637626	15191619
1	1	2011	2	0.0	0	5803527	19919840
1	1	2011	3	0.1	6	5906423	20056779
1	1	2011	4	0.2	11	6147140	19819518
1	1	2011	5	0.4	23	6278343	18257225
1	1	2011	6	0.9	56	6100594	17722067
1	1	2011	7	1.4	80	5904792	19511370
1	1	2011	8	2.8	160	5649994	22179956
1	1	2011	9	5.5	329	6014260	22479229
1	1	2011	10	10.4	644	6199093	19805793
1	1	2012	0	0.0	0	1125580	3794901
1	1	2012	1	0.0	0	4608080	15191619
