Summary stage 2000 (1998+)	Sex	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Localized	Female	2000	00 years	0.0	0	548034	3794901
Localized	Female	2000	01-04 years	0.0	0	2195452	15191619
Localized	Female	2000	05-09 years	0.0	0	2933841	19919840
Localized	Female	2000	10-14 years	0.0	0	2880388	20056779
Localized	Female	2000	15-19 years	0.0	0	2752065	19819518
Localized	Female	2000	20-24 years	0.2	4	2633100	18257225
Localized	Female	2000	25-29 years	0.6	16	2761158	17722067
Localized	Female	2000	30-34 years	1.5	43	2964683	19511370
Localized	Female	2000	35-39 years	2.4	76	3226380	22179956
Localized	Female	2000	40-44 years	4.8	152	3173885	22479229
Localized	Female	2000	45-49 years	9.2	261	2843695	19805793
Localized	Female	2000	50-54 years	18.3	457	2496861	17224359
Localized	Female	2000	55-59 years	25.0	469	1876056	13307234
Localized	Female	2000	60-64 years	40.1	596	1485874	10654272
Localized	Female	2000	65-69 years	65.4	861	1315536	9409940
Localized	Female	2000	70-74 years	82.4	1040	1262258	8725574
Localized	Female	2000	75-79 years	115.7	1302	1125138	7414559
Localized	Female	2000	80-84 years	133.4	1057	792310	4900234
Localized	Female	2000	85+ years	138.8	1049	755524	4259173
Localized	Female	2001	00 years	0.0	0	573225	3794901
Localized	Female	2001	01-04 years	0.0	0	2179050	15191619
Localized	Female	2001	05-09 years	0.0	0	2889200	19919840
Localized	Female	2001	10-14 years	0.0	1	2945487	20056779
Localized	Female	2001	15-19 years	0.0	0	2763336	19819518
Localized	Female	2001	20-24 years	0.4	10	2728766	18257225
Localized	Female	2001	25-29 years	0.6	16	2705390	17722067
Localized	Female	2001	30-34 years	1.1	32	2988624	19511370
Localized	Female	2001	35-39 years	2.2	70	3177357	22179956
Localized	Female	2001	40-44 years	4.9	157	3216684	22479229
Localized	Female	2001	45-49 years	8.9	260	2912119	19805793
Localized	Female	2001	50-54 years	18.3	479	2619352	17224359
Localized	Female	2001	55-59 years	26.9	523	1942931	13307234
Localized	Female	2001	60-64 years	39.9	608	1524996	10654272
Localized	Female	2001	65-69 years	64.4	850	1318960	9409940
Localized	Female	2001	70-74 years	84.7	1060	1251372	8725574
Localized	Female	2001	75-79 years	113.6	1278	1125309	7414559
Localized	Female	2001	80-84 years	123.5	1010	818123	4900234
Localized	Female	2001	85+ years	136.5	1044	765071	4259173
Localized	Female	2002	00 years	0.0	0	565467	3794901
Localized	Female	2002	01-04 years	0.0	0	2198741	15191619
Localized	Female	2002	05-09 years	0.0	0	2838476	19919840
Localized	Female	2002	10-14 years	0.0	1	3000772	20056779
Localized	Female	2002	15-19 years	0.1	3	2786093	19819518
Localized	Female	2002	20-24 years	0.1	4	2796999	18257225
Localized	Female	2002	25-29 years	0.5	13	2690291	17722067
Localized	Female	2002	30-34 years	1.5	44	2988227	19511370
Localized	Female	2002	35-39 years	2.4	75	3120622	22179956
Localized	Female	2002	40-44 years	5.0	161	3231673	22479229
Localized	Female	2002	45-49 years	9.5	283	2992091	19805793
Localized	Female	2002	50-54 years	19.9	523	2627578	17224359
Localized	Female	2002	55-59 years	25.9	545	2108282	13307234
Localized	Female	2002	60-64 years	39.3	622	1582611	10654272
Localized	Female	2002	65-69 years	61.3	814	1328517	9409940
Localized	Female	2002	70-74 years	84.2	1041	1237007	8725574
Localized	Female	2002	75-79 years	112.4	1262	1122423	7414559
Localized	Female	2002	80-84 years	134.8	1137	843176	4900234
Localized	Female	2002	85+ years	139.8	1083	774881	4259173
Localized	Female	2003	00 years	0.0	0	569937	3794901
Localized	Female	2003	01-04 years	0.0	0	2218709	15191619
Localized	Female	2003	05-09 years	0.0	0	2794680	19919840
Localized	Female	2003	10-14 years	0.0	1	3033117	20056779
Localized	Female	2003	15-19 years	0.1	4	2823788	19819518
Localized	Female	2003	20-24 years	0.4	10	2843890	18257225
Localized	Female	2003	25-29 years	0.6	15	2704633	17722067
Localized	Female	2003	30-34 years	1.3	38	2964921	19511370
Localized	Female	2003	35-39 years	2.3	71	3065864	22179956
Localized	Female	2003	40-44 years	4.7	154	3242689	22479229
Localized	Female	2003	45-49 years	8.9	272	3057376	19805793
Localized	Female	2003	50-54 years	18.1	485	2679682	17224359
Localized	Female	2003	55-59 years	26.8	591	2206031	13307234
Localized	Female	2003	60-64 years	39.1	653	1670693	10654272
Localized	Female	2003	65-69 years	60.6	820	1354029	9409940
Localized	Female	2003	70-74 years	77.8	953	1224180	8725574
Localized	Female	2003	75-79 years	107.6	1204	1118748	7414559
Localized	Female	2003	80-84 years	128.1	1103	861296	4900234
Localized	Female	2003	85+ years	133.3	1054	790792	4259173
Localized	Female	2004	00 years	0.0	0	574259	3794901
Localized	Female	2004	01-04 years	0.0	0	2240463	15191619
Localized	Female	2004	05-09 years	0.0	0	2757693	19919840
Localized	Female	2004	10-14 years	0.0	0	3038566	20056779
Localized	Female	2004	15-19 years	0.1	3	2874577	19819518
Localized	Female	2004	20-24 years	0.6	17	2866267	18257225
Localized	Female	2004	25-29 years	0.5	15	2748987	17722067
Localized	Female	2004	30-34 years	1.4	41	2916991	19511370
Localized	Female	2004	35-39 years	2.6	78	3015731	22179956
Localized	Female	2004	40-44 years	4.4	143	3253984	22479229
Localized	Female	2004	45-49 years	9.3	289	3101419	19805793
Localized	Female	2004	50-54 years	21.7	594	2742842	17224359
Localized	Female	2004	55-59 years	25.0	580	2315943	13307234
Localized	Female	2004	60-64 years	35.9	624	1740347	10654272
Localized	Female	2004	65-69 years	59.9	828	1381841	9409940
