Stage	Age Category	Year of Diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
1	3	2000	14	81.3	1982	2438122	9409940
1	3	2000	15	100.0	2250	2250088	8725574
1	3	2000	16	137.6	2632	1912863	7414559
1	3	2000	17	154.4	1962	1271099	4900234
1	3	2000	18	154.7	1664	1075916	4259173
1	3	2001	14	80.1	1961	2448484	9409940
1	3	2001	15	104.3	2337	2241129	8725574
1	3	2001	16	135.6	2597	1915556	7414559
1	3	2001	17	144.6	1907	1318613	4900234
1	3	2001	18	158.4	1733	1093854	4259173
1	3	2002	14	76.2	1883	2470774	9409940
1	3	2002	15	103.4	2300	2223927	8725574
1	3	2002	16	131.2	2512	1914270	7414559
1	3	2002	17	150.7	2056	1364730	4900234
1	3	2002	18	153.3	1706	1112959	4259173
1	3	2003	14	75.1	1895	2524001	9409940
1	3	2003	15	97.5	2152	2206943	8725574
1	3	2003	16	126.5	2421	1914009	7414559
1	3	2003	17	146.4	2046	1397935	4900234
1	3	2003	18	148.3	1694	1142624	4259173
1	3	2004	14	72.4	1870	2583068	9409940
1	3	2004	15	93.7	2052	2189003	8725574
1	3	2004	16	122.3	2322	1898091	7414559
1	3	2004	17	143.6	2057	1432237	4900234
1	3	2004	18	136.5	1589	1164503	4259173
1	3	2005	14	68.8	1763	2561897	9409940
1	3	2005	15	94.6	2010	2124936	8725574
1	3	2005	16	116.9	2153	1842131	7414559
1	3	2005	17	136.6	1934	1415603	4900234
1	3	2005	18	139.9	1651	1180301	4259173
1	3	2006	14	72.9	1970	2703241	9409940
1	3	2006	15	94.0	2061	2192274	8725574
1	3	2006	16	117.1	2208	1885792	7414559
1	3	2006	17	133.1	1938	1455580	4900234
1	3	2006	18	129.7	1629	1255977	4259173
1	3	2007	14	72.8	2045	2810970	9409940
1	3	2007	15	93.8	2076	2213562	8725574
1	3	2007	16	111.9	2098	1875483	7414559
1	3	2007	17	126.5	1849	1461775	4900234
1	3	2007	18	128.5	1678	1305936	4259173
1	3	2008	14	67.2	2000	2977431	9409940
1	3	2008	15	89.9	2034	2262028	8725574
1	3	2008	16	113.6	2118	1864482	7414559
1	3	2008	17	129.1	1894	1467035	4900234
1	3	2008	18	128.9	1744	1353083	4259173
1	3	2009	14	62.4	1945	3114864	9409940
1	3	2009	15	83.1	1930	2321944	8725574
1	3	2009	16	103.8	1929	1858583	7414559
1	3	2009	17	117.9	1727	1465380	4900234
1	3	2009	18	117.8	1652	1402232	4259173
1	3	2010	14	58.0	1880	3239597	9409940
1	3	2010	15	80.4	1912	2378879	8725574
1	3	2010	16	92.8	1729	1864112	7414559
1	3	2010	17	107.1	1578	1473432	4900234
1	3	2010	18	105.3	1528	1451061	4259173
1	3	2011	14	55.7	1870	3357206	9409940
1	3	2011	15	74.9	1837	2453900	8725574
1	3	2011	16	90.8	1710	1882410	7414559
1	3	2011	17	105.0	1552	1478784	4900234
1	3	2011	18	104.6	1561	1492601	4259173
1	3	2012	14	54.2	1979	3650502	9409940
1	3	2012	15	69.8	1786	2559558	8725574
1	3	2012	16	89.7	1712	1908761	7414559
1	3	2012	17	102.6	1519	1480034	4900234
1	3	2012	18	97.6	1500	1537597	4259173
1	3	2013	14	52.1	1992	3824462	9409940
1	3	2013	15	66.5	1805	2714071	8725574
1	3	2013	16	83.1	1627	1957895	7414559
1	3	2013	17	102.6	1517	1478534	4900234
1	3	2013	18	92.3	1452	1572939	4259173
1	3	2014	14	51.9	2083	4014338	9409940
1	3	2014	15	62.6	1776	2838658	8725574
1	3	2014	16	80.5	1626	2019235	7414559
1	3	2014	17	94.0	1390	1478454	4900234
1	3	2014	18	87.8	1411	1607353	4259173
2	3	2000	14	72.4	1766	2438122	9409940
2	3	2000	15	96.8	2178	2250088	8725574
2	3	2000	16	119.3	2283	1912863	7414559
2	3	2000	17	144.0	1830	1271099	4900234
2	3	2000	18	154.9	1667	1075916	4259173
2	3	2001	14	71.0	1739	2448484	9409940
2	3	2001	15	92.3	2068	2241129	8725574
2	3	2001	16	122.3	2343	1915556	7414559
2	3	2001	17	142.6	1881	1318613	4900234
2	3	2001	18	153.0	1674	1093854	4259173
2	3	2002	14	67.0	1655	2470774	9409940
2	3	2002	15	92.9	2066	2223927	8725574
2	3	2002	16	114.9	2200	1914270	7414559
2	3	2002	17	140.7	1920	1364730	4900234
2	3	2002	18	137.1	1526	1112959	4259173
2	3	2003	14	66.9	1689	2524001	9409940
2	3	2003	15	89.3	1970	2206943	8725574
2	3	2003	16	113.7	2176	1914009	7414559
2	3	2003	17	132.2	1848	1397935	4900234
2	3	2003	18	134.2	1533	1142624	4259173
2	3	2004	14	64.6	1669	2583068	9409940
2	3	2004	15	85.8	1879	2189003	8725574
2	3	2004	16	99.8	1894	1898091	7414559
2	3	2004	17	126.2	1807	1432237	4900234
2	3	2004	18	130.4	1519	1164503	4259173
2	3	2005	14	61.8	1583	2561897	9409940
2	3	2005	15	75.5	1604	2124936	8725574
2	3	2005	16	104.9	1932	1842131	7414559
2	3	2005	17	119.8	1696	1415603	4900234
2	3	2005	18	123.0	1452	1180301	4259173
2	3	2006	14	57.5	1554	2703241	9409940
2	3	2006	15	75.4	1653	2192274	8725574
2	3	2006	16	96.3	1816	1885792	7414559
2	3	2006	17	119.3	1737	1455580	4900234
2	3	2006	18	116.6	1464	1255977	4259173
2	3	2007	14	57.7	1622	2810970	9409940
2	3	2007	15	74.0	1637	2213562	8725574
2	3	2007	16	93.1	1747	1875483	7414559
2	3	2007	17	110.0	1608	1461775	4900234
2	3	2007	18	114.3	1493	1305936	4259173
2	3	2008	14	53.1	1580	2977431	9409940
2	3	2008	15	71.3	1613	2262028	8725574
2	3	2008	16	91.3	1702	1864482	7414559
2	3	2008	17	111.3	1633	1467035	4900234
2	3	2008	18	114.3	1546	1353083	4259173
2	3	2009	14	49.1	1530	3114864	9409940
2	3	2009	15	67.1	1559	2321944	8725574
2	3	2009	16	88.0	1636	1858583	7414559
2	3	2009	17	104.2	1527	1465380	4900234
2	3	2009	18	106.8	1498	1402232	4259173
2	3	2010	14	45.8	1484	3239597	9409940
2	3	2010	15	64.1	1526	2378879	8725574
2	3	2010	16	79.3	1479	1864112	7414559
2	3	2010	17	98.5	1452	1473432	4900234
2	3	2010	18	102.2	1483	1451061	4259173
2	3	2011	14	43.6	1464	3357206	9409940
2	3	2011	15	61.8	1517	2453900	8725574
2	3	2011	16	76.4	1439	1882410	7414559
2	3	2011	17	95.2	1408	1478784	4900234
2	3	2011	18	98.0	1463	1492601	4259173
2	3	2012	14	44.6	1629	3650502	9409940
2	3	2012	15	60.8	1557	2559558	8725574
2	3	2012	16	72.5	1383	1908761	7414559
2	3	2012	17	92.2	1365	1480034	4900234
2	3	2012	18	91.9	1413	1537597	4259173
2	3	2013	14	43.2	1652	3824462	9409940
2	3	2013	15	53.6	1456	2714071	8725574
2	3	2013	16	66.4	1301	1957895	7414559
2	3	2013	17	86.9	1285	1478534	4900234
2	3	2013	18	87.5	1377	1572939	4259173
2	3	2014	14	40.6	1630	4014338	9409940
2	3	2014	15	50.8	1443	2838658	8725574
2	3	2014	16	66.5	1343	2019235	7414559
2	3	2014	17	77.0	1139	1478454	4900234
2	3	2014	18	83.6	1343	1607353	4259173
3	3	2000	14	34.3	836	2438122	9409940
3	3	2000	15	44.1	992	2250088	8725574
3	3	2000	16	51.1	977	1912863	7414559
3	3	2000	17	63.4	806	1271099	4900234
3	3	2000	18	64.1	690	1075916	4259173
3	3	2001	14	34.2	837	2448484	9409940
3	3	2001	15	43.4	973	2241129	8725574
3	3	2001	16	52.4	1003	1915556	7414559
3	3	2001	17	62.3	822	1318613	4900234
3	3	2001	18	66.2	724	1093854	4259173
3	3	2002	14	33.2	820	2470774	9409940
3	3	2002	15	43.0	957	2223927	8725574
3	3	2002	16	53.8	1030	1914270	7414559
3	3	2002	17	64.8	884	1364730	4900234
3	3	2002	18	63.7	709	1112959	4259173
3	3	2003	14	35.9	906	2524001	9409940
3	3	2003	15	42.1	929	2206943	8725574
3	3	2003	16	52.2	999	1914009	7414559
3	3	2003	17	58.5	818	1397935	4900234
3	3	2003	18	61.5	703	1142624	4259173
3	3	2004	14	31.9	824	2583068	9409940
3	3	2004	15	41.7	912	2189003	8725574
3	3	2004	16	50.3	954	1898091	7414559
3	3	2004	17	58.2	833	1432237	4900234
3	3	2004	18	62.0	722	1164503	4259173
3	3	2005	14	32.7	839	2561897	9409940
3	3	2005	15	39.5	840	2124936	8725574
3	3	2005	16	47.0	866	1842131	7414559
3	3	2005	17	54.4	770	1415603	4900234
3	3	2005	18	58.5	690	1180301	4259173
3	3	2006	14	32.3	874	2703241	9409940
3	3	2006	15	40.1	880	2192274	8725574
3	3	2006	16	45.7	861	1885792	7414559
3	3	2006	17	53.0	772	1455580	4900234
3	3	2006	18	60.6	761	1255977	4259173
3	3	2007	14	29.3	824	2810970	9409940
3	3	2007	15	38.4	851	2213562	8725574
3	3	2007	16	44.7	838	1875483	7414559
3	3	2007	17	51.9	759	1461775	4900234
3	3	2007	18	57.2	747	1305936	4259173
3	3	2008	14	28.5	848	2977431	9409940
3	3	2008	15	37.4	847	2262028	8725574
3	3	2008	16	44.9	837	1864482	7414559
3	3	2008	17	52.7	773	1467035	4900234
3	3	2008	18	57.5	778	1353083	4259173
3	3	2009	14	27.4	852	3114864	9409940
