Summary stage 2000 (1998+)	Sex	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Localized	Male	2000	00 years	0.0	0	575919	3794901
Localized	Male	2000	01-04 years	0.0	0	2298193	15191619
Localized	Male	2000	05-09 years	0.0	0	3080921	19919840
Localized	Male	2000	10-14 years	0.0	0	3025979	20056779
Localized	Male	2000	15-19 years	0.1	3	2933994	19819518
Localized	Male	2000	20-24 years	0.2	6	2799544	18257225
Localized	Male	2000	25-29 years	0.6	17	2862625	17722067
Localized	Male	2000	30-34 years	1.3	41	3045979	19511370
Localized	Male	2000	35-39 years	2.8	90	3246492	22179956
Localized	Male	2000	40-44 years	4.9	155	3143783	22479229
Localized	Male	2000	45-49 years	11.7	322	2756927	19805793
Localized	Male	2000	50-54 years	23.6	564	2390689	17224359
Localized	Male	2000	55-59 years	39.0	689	1766119	13307234
Localized	Male	2000	60-64 years	65.8	889	1350089	10654272
Localized	Male	2000	65-69 years	99.9	1121	1122586	9409940
Localized	Male	2000	70-74 years	122.5	1210	987830	8725574
Localized	Male	2000	75-79 years	168.8	1330	787725	7414559
Localized	Male	2000	80-84 years	189.0	905	478789	4900234
Localized	Male	2000	85+ years	192.0	615	320392	4259173
Localized	Male	2001	00 years	0.0	0	599904	3794901
Localized	Male	2001	01-04 years	0.0	0	2282027	15191619
Localized	Male	2001	05-09 years	0.0	0	3032266	19919840
Localized	Male	2001	10-14 years	0.0	0	3093951	20056779
Localized	Male	2001	15-19 years	0.1	2	2961407	19819518
Localized	Male	2001	20-24 years	0.2	5	2897135	18257225
Localized	Male	2001	25-29 years	0.5	15	2804821	17722067
Localized	Male	2001	30-34 years	1.4	42	3065063	19511370
Localized	Male	2001	35-39 years	2.6	83	3204342	22179956
Localized	Male	2001	40-44 years	5.0	159	3189745	22479229
Localized	Male	2001	45-49 years	11.1	314	2829602	19805793
Localized	Male	2001	50-54 years	24.0	601	2506606	17224359
Localized	Male	2001	55-59 years	39.1	715	1827690	13307234
Localized	Male	2001	60-64 years	65.7	912	1389105	10654272
Localized	Male	2001	65-69 years	98.4	1111	1129524	9409940
Localized	Male	2001	70-74 years	129.0	1277	989757	8725574
Localized	Male	2001	75-79 years	166.9	1319	790247	7414559
Localized	Male	2001	80-84 years	179.2	897	500490	4900234
Localized	Male	2001	85+ years	209.6	689	328783	4259173
Localized	Male	2002	00 years	0.0	0	589710	3794901
Localized	Male	2002	01-04 years	0.0	0	2302459	15191619
Localized	Male	2002	05-09 years	0.0	1	2978638	19919840
Localized	Male	2002	10-14 years	0.0	0	3150143	20056779
Localized	Male	2002	15-19 years	0.1	2	2984818	19819518
Localized	Male	2002	20-24 years	0.2	5	2965505	18257225
Localized	Male	2002	25-29 years	0.5	13	2781653	17722067
Localized	Male	2002	30-34 years	1.4	42	3059136	19511370
Localized	Male	2002	35-39 years	3.0	93	3140557	22179956
Localized	Male	2002	40-44 years	5.2	166	3207480	22479229
Localized	Male	2002	45-49 years	10.0	290	2911473	19805793
Localized	Male	2002	50-54 years	25.3	637	2513170	17224359
Localized	Male	2002	55-59 years	41.0	814	1985879	13307234
Localized	Male	2002	60-64 years	61.7	891	1444771	10654272
Localized	Male	2002	65-69 years	93.6	1069	1142257	9409940
Localized	Male	2002	70-74 years	127.6	1259	986920	8725574
Localized	Male	2002	75-79 years	157.9	1250	791847	7414559
Localized	Male	2002	80-84 years	176.2	919	521554	4900234
Localized	Male	2002	85+ years	184.3	623	338078	4259173
Localized	Male	2003	00 years	0.0	0	597416	3794901
Localized	Male	2003	01-04 years	0.0	0	2320222	15191619
Localized	Male	2003	05-09 years	0.0	0	2928348	19919840
Localized	Male	2003	10-14 years	0.0	0	3185783	20056779
Localized	Male	2003	15-19 years	0.0	1	3013055	19819518
Localized	Male	2003	20-24 years	0.3	9	2999362	18257225
Localized	Male	2003	25-29 years	0.6	17	2782231	17722067
Localized	Male	2003	30-34 years	1.2	36	3018949	19511370
Localized	Male	2003	35-39 years	3.2	100	3079866	22179956
Localized	Male	2003	40-44 years	4.7	152	3211591	22479229
Localized	Male	2003	45-49 years	10.4	311	2982780	19805793
Localized	Male	2003	50-54 years	26.7	684	2561004	17224359
Localized	Male	2003	55-59 years	38.1	791	2077558	13307234
Localized	Male	2003	60-64 years	59.7	913	1528167	10654272
Localized	Male	2003	65-69 years	91.9	1075	1169972	9409940
Localized	Male	2003	70-74 years	122.0	1199	982763	8725574
Localized	Male	2003	75-79 years	153.0	1217	795261	7414559
Localized	Male	2003	80-84 years	175.7	943	536639	4900234
Localized	Male	2003	85+ years	181.9	640	351832	4259173
Localized	Male	2004	00 years	0.2	1	598427	3794901
Localized	Male	2004	01-04 years	0.0	0	2343022	15191619
Localized	Male	2004	05-09 years	0.0	0	2886210	19919840
Localized	Male	2004	10-14 years	0.1	2	3192788	20056779
Localized	Male	2004	15-19 years	0.1	4	3062053	19819518
Localized	Male	2004	20-24 years	0.3	8	3042914	18257225
Localized	Male	2004	25-29 years	0.7	19	2824098	17722067
Localized	Male	2004	30-34 years	1.2	35	2967704	19511370
Localized	Male	2004	35-39 years	2.3	71	3034156	22179956
Localized	Male	2004	40-44 years	4.6	149	3223156	22479229
Localized	Male	2004	45-49 years	11.1	336	3030315	19805793
Localized	Male	2004	50-54 years	25.3	665	2625180	17224359
Localized	Male	2004	55-59 years	36.8	802	2178589	13307234
Localized	Male	2004	60-64 years	58.2	927	1592002	10654272
Localized	Male	2004	65-69 years	86.7	1042	1201227	9409940
Localized	Male	2004	70-74 years	114.5	1119	976963	8725574
Localized	Male	2004	75-79 years	150.7	1195	793179	7414559
Localized	Male	2004	80-84 years	164.5	908	551878	4900234
Localized	Male	2004	85+ years	174.7	634	362894	4259173
Localized	Male	2005	00 years	0.0	0	581022	3794901
Localized	Male	2005	01-04 years	0.0	0	2291523	15191619
Localized	Male	2005	05-09 years	0.0	0	2776935	19919840
Localized	Male	2005	10-14 years	0.0	0	3077005	20056779
Localized	Male	2005	15-19 years	0.1	4	3037439	19819518
Localized	Male	2005	20-24 years	0.2	5	2966425	18257225
Localized	Male	2005	25-29 years	0.7	20	2795697	17722067
