Stage	Age Category	Year of Diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
1	2	2000	11	20.9	1021	4887550	17224359
1	2	2000	12	31.8	1158	3642175	13307234
1	2	2000	13	52.4	1485	2835963	10654272
1	2	2001	11	21.1	1080	5125958	17224359
1	2	2001	12	32.8	1238	3770621	13307234
1	2	2001	13	52.2	1520	2914101	10654272
1	2	2002	11	22.6	1160	5140748	17224359
1	2	2002	12	33.2	1359	4094161	13307234
1	2	2002	13	50.0	1513	3027382	10654272
1	2	2003	11	22.3	1169	5240686	17224359
1	2	2003	12	32.3	1382	4283589	13307234
1	2	2003	13	49.0	1566	3198860	10654272
1	2	2004	11	23.5	1259	5368022	17224359
1	2	2004	12	30.7	1382	4494532	13307234
1	2	2004	13	46.5	1551	3332349	10654272
1	2	2005	11	24.0	1280	5343760	17224359
1	2	2005	12	32.4	1489	4600833	13307234
1	2	2005	13	47.9	1604	3350764	10654272
1	2	2006	11	23.5	1319	5623573	17224359
1	2	2006	12	29.5	1461	4946510	13307234
1	2	2006	13	44.4	1580	3559967	10654272
1	2	2007	11	25.3	1463	5783821	17224359
1	2	2007	12	31.7	1574	4958293	13307234
1	2	2007	13	44.4	1720	3871309	10654272
1	2	2008	11	25.2	1495	5925371	17224359
1	2	2008	12	30.2	1529	5065472	13307234
1	2	2008	13	42.3	1714	4055528	10654272
1	2	2009	11	26.1	1574	6026377	17224359
1	2	2009	12	30.8	1601	5202748	13307234
1	2	2009	13	41.0	1754	4273752	10654272
1	2	2010	11	25.0	1531	6133641	17224359
1	2	2010	12	28.3	1517	5351059	13307234
1	2	2010	13	38.6	1743	4511342	10654272
1	2	2011	11	24.2	1502	6197603	17224359
1	2	2011	12	25.5	1402	5490930	13307234
1	2	2011	13	35.8	1693	4725529	10654272
1	2	2012	11	25.3	1570	6215561	17224359
1	2	2012	12	27.0	1526	5643839	13307234
1	2	2012	13	34.7	1644	4739343	10654272
1	2	2013	11	24.0	1495	6226744	17224359
