Stage	Colorectal Sidedness (Right,Left)	Year of Diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
1	Proximal Colorectal Cancer	2000	0	0.0	0	1123953	3794901
1	Proximal Colorectal Cancer	2000	1	0.0	0	4493645	15191619
1	Proximal Colorectal Cancer	2000	2	0.0	0	6014762	19919840
1	Proximal Colorectal Cancer	2000	3	0.0	0	5906367	20056779
1	Proximal Colorectal Cancer	2000	4	0.0	2	5686059	19819518
1	Proximal Colorectal Cancer	2000	5	0.0	2	5432644	18257225
1	Proximal Colorectal Cancer	2000	6	0.2	11	5623783	17722067
1	Proximal Colorectal Cancer	2000	7	0.4	24	6010662	19511370
1	Proximal Colorectal Cancer	2000	8	0.8	50	6472872	22179956
1	Proximal Colorectal Cancer	2000	9	1.0	65	6317668	22479229
1	Proximal Colorectal Cancer	2000	10	2.3	130	5600622	19805793
1	Proximal Colorectal Cancer	2000	11	4.5	218	4887550	17224359
1	Proximal Colorectal Cancer	2000	12	7.4	271	3642175	13307234
1	Proximal Colorectal Cancer	2000	13	14.6	415	2835963	10654272
1	Proximal Colorectal Cancer	2000	14	26.5	646	2438122	9409940
1	Proximal Colorectal Cancer	2000	15	37.2	836	2250088	8725574
1	Proximal Colorectal Cancer	2000	16	56.2	1075	1912863	7414559
1	Proximal Colorectal Cancer	2000	17	71.1	904	1271099	4900234
1	Proximal Colorectal Cancer	2000	18	78.8	848	1075916	4259173
1	Proximal Colorectal Cancer	2001	0	0.0	0	1173129	3794901
1	Proximal Colorectal Cancer	2001	1	0.0	0	4461077	15191619
1	Proximal Colorectal Cancer	2001	2	0.0	0	5921466	19919840
1	Proximal Colorectal Cancer	2001	3	0.0	1	6039438	20056779
1	Proximal Colorectal Cancer	2001	4	0.0	1	5724743	19819518
1	Proximal Colorectal Cancer	2001	5	0.1	4	5625901	18257225
1	Proximal Colorectal Cancer	2001	6	0.2	11	5510211	17722067
1	Proximal Colorectal Cancer	2001	7	0.3	20	6053687	19511370
1	Proximal Colorectal Cancer	2001	8	0.6	41	6381699	22179956
1	Proximal Colorectal Cancer	2001	9	1.0	65	6406429	22479229
1	Proximal Colorectal Cancer	2001	10	2.1	118	5741721	19805793
1	Proximal Colorectal Cancer	2001	11	5.1	263	5125958	17224359
1	Proximal Colorectal Cancer	2001	12	8.0	300	3770621	13307234
1	Proximal Colorectal Cancer	2001	13	16.2	472	2914101	10654272
1	Proximal Colorectal Cancer	2001	14	26.0	636	2448484	9409940
1	Proximal Colorectal Cancer	2001	15	40.3	903	2241129	8725574
1	Proximal Colorectal Cancer	2001	16	59.0	1131	1915556	7414559
1	Proximal Colorectal Cancer	2001	17	68.3	900	1318613	4900234
1	Proximal Colorectal Cancer	2001	18	86.8	950	1093854	4259173
1	Proximal Colorectal Cancer	2002	0	0.0	0	1155177	3794901
1	Proximal Colorectal Cancer	2002	1	0.0	0	4501200	15191619
1	Proximal Colorectal Cancer	2002	2	0.0	0	5817114	19919840
1	Proximal Colorectal Cancer	2002	3	0.0	1	6150915	20056779
1	Proximal Colorectal Cancer	2002	4	0.1	3	5770911	19819518
