Stage	Tumor Location	Year of Diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
1	Distal	2000	0	0.0	0	1123953	3794901
1	Distal	2000	1	0.0	0	4493645	15191619
1	Distal	2000	2	0.0	0	6014762	19919840
1	Distal	2000	3	0.0	0	5906367	20056779
1	Distal	2000	4	0.0	1	5686059	19819518
1	Distal	2000	5	0.1	8	5432644	18257225
1	Distal	2000	6	0.5	22	5623783	17722067
1	Distal	2000	7	0.9	58	6010662	19511370
1	Distal	2000	8	1.8	115	6472872	22179956
1	Distal	2000	9	3.8	239	6317668	22479229
1	Distal	2000	10	7.9	449	5600622	19805793
1	Distal	2000	11	16.4	794	4887550	17224359
1	Distal	2000	12	23.9	872	3642175	13307234
1	Distal	2000	13	37.1	1053	2835963	10654272
1	Distal	2000	14	53.9	1314	2438122	9409940
1	Distal	2000	15	61.8	1392	2250088	8725574
1	Distal	2000	16	80.0	1531	1912863	7414559
1	Distal	2000	17	81.1	1031	1271099	4900234
1	Distal	2000	18	74.4	801	1075916	4259173
1	Distal	2001	0	0.0	0	1173129	3794901
1	Distal	2001	1	0.0	0	4461077	15191619
1	Distal	2001	2	0.0	0	5921466	19919840
1	Distal	2001	3	0.0	0	6039438	20056779
1	Distal	2001	4	0.0	1	5724743	19819518
1	Distal	2001	5	0.1	11	5625901	18257225
1	Distal	2001	6	0.4	20	5510211	17722067
1	Distal	2001	7	0.8	52	6053687	19511370
1	Distal	2001	8	1.6	111	6381699	22179956
1	Distal	2001	9	3.8000000000000003	246	6406429	22479229
1	Distal	2001	10	7.9	449	5741721	19805793
1	Distal	2001	11	15.9	815	5125958	17224359
1	Distal	2001	12	24.7	928	3770621	13307234
1	Distal	2001	13	35.2	1028	2914101	10654272
1	Distal	2001	14	53.2	1303	2448484	9409940
1	Distal	2001	15	62.5	1401	2241129	8725574
1	Distal	2001	16	75.0	1437	1915556	7414559
1	Distal	2001	17	74.7	986	1318613	4900234
1	Distal	2001	18	69.8	763	1093854	4259173
1	Distal	2002	0	0.0	0	1155177	3794901
1	Distal	2002	1	0.0	0	4501200	15191619
1	Distal	2002	2	0.0	1	5817114	19919840
1	Distal	2002	3	0.0	0	6150915	20056779
1	Distal	2002	4	0.0	2	5770911	19819518
1	Distal	2002	5	0.1	6	5762504	18257225
1	Distal	2002	6	0.30000000000000004	18	5471944	17722067
1	Distal	2002	7	0.8	55	6047363	19511370
1	Distal	2002	8	2.0	125	6261179	22179956
1	Distal	2002	9	3.8	246	6439153	22479229
1	Distal	2002	10	7.4	435	5903564	19805793
1	Distal	2002	11	17.8	912	5140748	17224359
1	Distal	2002	12	24.8	1015	4094161	13307234
1	Distal	2002	13	34.4	1042	3027382	10654272
1	Distal	2002	14	50.300000000000004	1243	2470774	9409940
1	Distal	2002	15	60.5	1344	2223927	8725574
1	Distal	2002	16	72.9	1395	1914270	7414559
1	Distal	2002	17	73.5	1002	1364730	4900234
