Stage	Sex	Year of Diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
1	Male	2000	0	0.0	0	575919	3794901
1	Female	2000	0	0.0	0	548034	3794901
1	Male	2000	1	0.0	0	2298193	15191619
1	Female	2000	1	0.0	0	2195452	15191619
1	Male	2000	2	0.0	0	3080921	19919840
1	Female	2000	2	0.0	0	2933841	19919840
1	Male	2000	3	0.0	0	3025979	20056779
1	Female	2000	3	0.0	0	2880388	20056779
1	Male	2000	4	0.1	3	2933994	19819518
1	Female	2000	4	0.0	0	2752065	19819518
1	Male	2000	5	0.2	6	2799544	18257225
1	Female	2000	5	0.2	4	2633100	18257225
1	Male	2000	6	0.6	17	2862625	17722067
1	Female	2000	6	0.6	16	2761158	17722067
1	Male	2000	7	1.3	41	3045979	19511370
1	Female	2000	7	1.5	43	2964683	19511370
1	Male	2000	8	2.8	90	3246492	22179956
1	Female	2000	8	2.4	76	3226380	22179956
1	Male	2000	9	4.9	155	3143783	22479229
1	Female	2000	9	4.8	152	3173885	22479229
1	Male	2000	10	11.7	322	2756927	19805793
1	Female	2000	10	9.2	261	2843695	19805793
1	Male	2000	11	23.6	564	2390689	17224359
1	Female	2000	11	18.3	457	2496861	17224359
1	Male	2000	12	39.0	689	1766119	13307234
1	Female	2000	12	25.0	469	1876056	13307234
1	Male	2000	13	65.8	889	1350089	10654272
1	Female	2000	13	40.1	596	1485874	10654272
1	Male	2000	14	99.9	1121	1122586	9409940
1	Female	2000	14	65.4	861	1315536	9409940
1	Male	2000	15	122.5	1210	987830	8725574
1	Female	2000	15	82.4	1040	1262258	8725574
1	Male	2000	16	168.8	1330	787725	7414559
1	Female	2000	16	115.7	1302	1125138	7414559
1	Male	2000	17	189.0	905	478789	4900234
1	Female	2000	17	133.4	1057	792310	4900234
1	Male	2000	18	192.0	615	320392	4259173
1	Female	2000	18	138.8	1049	755524	4259173
1	Male	2001	0	0.0	0	599904	3794901
1	Female	2001	0	0.0	0	573225	3794901
1	Male	2001	1	0.0	0	2282027	15191619
1	Female	2001	1	0.0	0	2179050	15191619
1	Male	2001	2	0.0	0	3032266	19919840
1	Female	2001	2	0.0	0	2889200	19919840
1	Male	2001	3	0.0	0	3093951	20056779
1	Female	2001	3	0.0	1	2945487	20056779
1	Male	2001	4	0.1	2	2961407	19819518
1	Female	2001	4	0.0	0	2763336	19819518
1	Male	2001	5	0.2	5	2897135	18257225
1	Female	2001	5	0.4	10	2728766	18257225
1	Male	2001	6	0.5	15	2804821	17722067
1	Female	2001	6	0.6	16	2705390	17722067
1	Male	2001	7	1.4	42	3065063	19511370
1	Female	2001	7	1.1	32	2988624	19511370
1	Male	2001	8	2.6	83	3204342	22179956
1	Female	2001	8	2.2	70	3177357	22179956
1	Male	2001	9	5.0	159	3189745	22479229
1	Female	2001	9	4.9	157	3216684	22479229
1	Male	2001	10	11.1	314	2829602	19805793
1	Female	2001	10	8.9	260	2912119	19805793
1	Male	2001	11	24.0	601	2506606	17224359
1	Female	2001	11	18.3	479	2619352	17224359
1	Male	2001	12	39.1	715	1827690	13307234
1	Female	2001	12	26.9	523	1942931	13307234
1	Male	2001	13	65.7	912	1389105	10654272
1	Female	2001	13	39.9	608	1524996	10654272
1	Male	2001	14	98.4	1111	1129524	9409940
1	Female	2001	14	64.4	850	1318960	9409940
1	Male	2001	15	129.0	1277	989757	8725574
1	Female	2001	15	84.7	1060	1251372	8725574
1	Male	2001	16	166.9	1319	790247	7414559
