Stage	Colorectal Sidedness (Right,Left)	Year of Diagnosis	Age Group	Age-Adjusted Rate	Count	Population	Std Pop
1	Distal Colorectal Cancer	2000	0	0.0	0	1123953	3794901
1	Proximal Colorectal Cancer	2000	0	0.0	0	1123953	3794901
1	Distal Colorectal Cancer	2000	1	0.0	0	4493645	15191619
1	Proximal Colorectal Cancer	2000	1	0.0	0	4493645	15191619
1	Distal Colorectal Cancer	2000	2	0.0	0	6014762	19919840
1	Proximal Colorectal Cancer	2000	2	0.0	0	6014762	19919840
1	Distal Colorectal Cancer	2000	3	0.0	0	5906367	20056779
1	Proximal Colorectal Cancer	2000	3	0.0	0	5906367	20056779
1	Distal Colorectal Cancer	2000	4	0.0	1	5686059	19819518
1	Proximal Colorectal Cancer	2000	4	0.0	2	5686059	19819518
1	Distal Colorectal Cancer	2000	5	0.1	8	5432644	18257225
1	Proximal Colorectal Cancer	2000	5	0.0	2	5432644	18257225
1	Distal Colorectal Cancer	2000	6	0.4	22	5623783	17722067
1	Proximal Colorectal Cancer	2000	6	0.2	11	5623783	17722067
1	Distal Colorectal Cancer	2000	7	1.0	58	6010662	19511370
1	Proximal Colorectal Cancer	2000	7	0.4	24	6010662	19511370
1	Distal Colorectal Cancer	2000	8	1.8	115	6472872	22179956
1	Proximal Colorectal Cancer	2000	8	0.8	50	6472872	22179956
1	Distal Colorectal Cancer	2000	9	3.8	239	6317668	22479229
1	Proximal Colorectal Cancer	2000	9	1.0	65	6317668	22479229
1	Distal Colorectal Cancer	2000	10	8.0	449	5600622	19805793
1	Proximal Colorectal Cancer	2000	10	2.3	130	5600622	19805793
1	Distal Colorectal Cancer	2000	11	16.2	794	4887550	17224359
1	Proximal Colorectal Cancer	2000	11	4.5	218	4887550	17224359
1	Distal Colorectal Cancer	2000	12	23.9	872	3642175	13307234
1	Proximal Colorectal Cancer	2000	12	7.4	271	3642175	13307234
1	Distal Colorectal Cancer	2000	13	37.1	1053	2835963	10654272
1	Proximal Colorectal Cancer	2000	13	14.6	415	2835963	10654272
1	Distal Colorectal Cancer	2000	14	53.9	1314	2438122	9409940
1	Proximal Colorectal Cancer	2000	14	26.5	646	2438122	9409940
1	Distal Colorectal Cancer	2000	15	61.9	1392	2250088	8725574
1	Proximal Colorectal Cancer	2000	15	37.2	836	2250088	8725574
1	Distal Colorectal Cancer	2000	16	80.0	1531	1912863	7414559
1	Proximal Colorectal Cancer	2000	16	56.2	1075	1912863	7414559
1	Distal Colorectal Cancer	2000	17	81.1	1031	1271099	4900234
1	Proximal Colorectal Cancer	2000	17	71.1	904	1271099	4900234
1	Distal Colorectal Cancer	2000	18	74.4	801	1075916	4259173
1	Proximal Colorectal Cancer	2000	18	78.8	848	1075916	4259173
1	Distal Colorectal Cancer	2001	0	0.0	0	1173129	3794901
1	Proximal Colorectal Cancer	2001	0	0.0	0	1173129	3794901
1	Distal Colorectal Cancer	2001	1	0.0	0	4461077	15191619
1	Proximal Colorectal Cancer	2001	1	0.0	0	4461077	15191619
1	Distal Colorectal Cancer	2001	2	0.0	0	5921466	19919840
1	Proximal Colorectal Cancer	2001	2	0.0	0	5921466	19919840
1	Distal Colorectal Cancer	2001	3	0.0	0	6039438	20056779
1	Proximal Colorectal Cancer	2001	3	0.0	1	6039438	20056779
1	Distal Colorectal Cancer	2001	4	0.0	1	5724743	19819518
1	Proximal Colorectal Cancer	2001	4	0.0	1	5724743	19819518
1	Distal Colorectal Cancer	2001	5	0.2	11	5625901	18257225
1	Proximal Colorectal Cancer	2001	5	0.1	4	5625901	18257225
1	Distal Colorectal Cancer	2001	6	0.4	20	5510211	17722067
1	Proximal Colorectal Cancer	2001	6	0.2	11	5510211	17722067
1	Distal Colorectal Cancer	2001	7	0.9	52	6053687	19511370
1	Proximal Colorectal Cancer	2001	7	0.3	20	6053687	19511370
1	Distal Colorectal Cancer	2001	8	1.7	111	6381699	22179956
1	Proximal Colorectal Cancer	2001	8	0.6	41	6381699	22179956
1	Distal Colorectal Cancer	2001	9	3.8	246	6406429	22479229
1	Proximal Colorectal Cancer	2001	9	1.0	65	6406429	22479229
1	Distal Colorectal Cancer	2001	10	7.8	449	5741721	19805793
1	Proximal Colorectal Cancer	2001	10	2.1	118	5741721	19805793
1	Distal Colorectal Cancer	2001	11	15.9	815	5125958	17224359
1	Proximal Colorectal Cancer	2001	11	5.1	263	5125958	17224359
1	Distal Colorectal Cancer	2001	12	24.6	928	3770621	13307234
1	Proximal Colorectal Cancer	2001	12	8.0	300	3770621	13307234
1	Distal Colorectal Cancer	2001	13	35.3	1028	2914101	10654272
1	Proximal Colorectal Cancer	2001	13	16.2	472	2914101	10654272
1	Distal Colorectal Cancer	2001	14	53.2	1303	2448484	9409940
1	Proximal Colorectal Cancer	2001	14	26.0	636	2448484	9409940
1	Distal Colorectal Cancer	2001	15	62.5	1401	2241129	8725574
1	Proximal Colorectal Cancer	2001	15	40.3	903	2241129	8725574
1	Distal Colorectal Cancer	2001	16	75.0	1437	1915556	7414559
1	Proximal Colorectal Cancer	2001	16	59.0	1131	1915556	7414559
1	Distal Colorectal Cancer	2001	17	74.8	986	1318613	4900234
1	Proximal Colorectal Cancer	2001	17	68.3	900	1318613	4900234
