Summary stage 2000 (1998+)	Race recode (W, B, AI, API)	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Localized	White	2000	00 years	0.0	0	851061	3794901
Localized	White	2000	01-04 years	0.0	0	3395605	15191619
Localized	White	2000	05-09 years	0.0	0	4515146	19919840
Localized	White	2000	10-14 years	0.0	0	4435637	20056779
Localized	White	2000	15-19 years	0.1	3	4290146	19819518
Localized	White	2000	20-24 years	0.1	6	4119945	18257225
Localized	White	2000	25-29 years	0.6	26	4260426	17722067
Localized	White	2000	30-34 years	1.4	63	4616417	19511370
Localized	White	2000	35-39 years	2.3	115	5034639	22179956
Localized	White	2000	40-44 years	4.8	238	4958971	22479229
Localized	White	2000	45-49 years	10.2	453	4437133	19805793
Localized	White	2000	50-54 years	20.7	814	3936581	17224359
Localized	White	2000	55-59 years	31.7	943	2975506	13307234
Localized	White	2000	60-64 years	52.6	1213	2305252	10654272
Localized	White	2000	65-69 years	82.5	1653	2004411	9409940
Localized	White	2000	70-74 years	103.7	1960	1890250	8725574
Localized	White	2000	75-79 years	141.5	2324	1642847	7414559
Localized	White	2000	80-84 years	157.6	1745	1107562	4900234
Localized	White	2000	85+ years	157.7	1486	942110	4259173
Localized	White	2001	00 years	0.0	0	887942	3794901
Localized	White	2001	01-04 years	0.0	0	3363367	15191619
Localized	White	2001	05-09 years	0.0	0	4437827	19919840
Localized	White	2001	10-14 years	0.0	1	4519746	20056779
Localized	White	2001	15-19 years	0.0	2	4309048	19819518
Localized	White	2001	20-24 years	0.2	10	4246460	18257225
Localized	White	2001	25-29 years	0.5	19	4146497	17722067
Localized	White	2001	30-34 years	1.4	64	4628387	19511370
Localized	White	2001	35-39 years	2.2	110	4930243	22179956
Localized	White	2001	40-44 years	4.9	245	5016556	22479229
Localized	White	2001	45-49 years	9.5	429	4532523	19805793
Localized	White	2001	50-54 years	20.6	845	4106594	17224359
Localized	White	2001	55-59 years	31.5	967	3071863	13307234
Localized	White	2001	60-64 years	52.1	1232	2364005	10654272
Localized	White	2001	65-69 years	81.2	1624	1999905	9409940
Localized	White	2001	70-74 years	107.1	2008	1875425	8725574
Localized	White	2001	75-79 years	138.7	2269	1636188	7414559
Localized	White	2001	80-84 years	145.9	1673	1146796	4900234
Localized	White	2001	85+ years	163.5	1566	957551	4259173
Localized	White	2002	00 years	0.0	0	875751	3794901
Localized	White	2002	01-04 years	0.0	0	3386627	15191619
Localized	White	2002	05-09 years	0.0	1	4350875	19919840
Localized	White	2002	10-14 years	0.0	1	4585453	20056779
Localized	White	2002	15-19 years	0.1	4	4332587	19819518
Localized	White	2002	20-24 years	0.2	8	4331597	18257225
Localized	White	2002	25-29 years	0.5	22	4102504	17722067
Localized	White	2002	30-34 years	1.5	67	4590819	19511370
Localized	White	2002	35-39 years	2.6	125	4810095	22179956
Localized	White	2002	40-44 years	5.1	254	5023963	22479229
Localized	White	2002	45-49 years	9.3	434	4642282	19805793
Localized	White	2002	50-54 years	21.3	871	4080362	17224359
Localized	White	2002	55-59 years	32.8	1095	3337594	13307234
Localized	White	2002	60-64 years	49.5	1216	2454205	10654272
Localized	White	2002	65-69 years	76.8	1543	2007836	9409940
Localized	White	2002	70-74 years	105.4	1950	1850940	8725574
Localized	White	2002	75-79 years	132.4	2155	1627860	7414559
Localized	White	2002	80-84 years	152.0	1799	1183638	4900234
Localized	White	2002	85+ years	156.6	1524	972989	4259173
Localized	White	2003	00 years	0.0	0	884024	3794901
Localized	White	2003	01-04 years	0.0	0	3410298	15191619
Localized	White	2003	05-09 years	0.0	0	4272178	19919840
Localized	White	2003	10-14 years	0.0	1	4621772	20056779
Localized	White	2003	15-19 years	0.1	4	4363412	19819518
Localized	White	2003	20-24 years	0.3	15	4379718	18257225
Localized	White	2003	25-29 years	0.6	26	4104859	17722067
Localized	White	2003	30-34 years	1.2	56	4512885	19511370
Localized	White	2003	35-39 years	2.8	133	4697029	22179956
Localized	White	2003	40-44 years	4.5	227	5011471	22479229
Localized	White	2003	45-49 years	9.4	447	4731764	19805793
Localized	White	2003	50-54 years	21.3	883	4139339	17224359
Localized	White	2003	55-59 years	31.3	1087	3467549	13307234
Localized	White	2003	60-64 years	48.7	1265	2598968	10654272
Localized	White	2003	65-69 years	75.1	1537	2045796	9409940
Localized	White	2003	70-74 years	97.6	1781	1825242	8725574
Localized	White	2003	75-79 years	126.8	2054	1620445	7414559
Localized	White	2003	80-84 years	150.6	1819	1207840	4900234
Localized	White	2003	85+ years	149.0	1486	997642	4259173
Localized	White	2004	00 years	0.0	0	887310	3794901
Localized	White	2004	01-04 years	0.0	0	3436522	15191619
Localized	White	2004	05-09 years	0.0	0	4205140	19919840
Localized	White	2004	10-14 years	0.0	2	4620333	20056779
Localized	White	2004	15-19 years	0.1	6	4416673	19819518
Localized	White	2004	20-24 years	0.5	21	4418220	18257225
Localized	White	2004	25-29 years	0.6	27	4154051	17722067
Localized	White	2004	30-34 years	1.3	57	4405830	19511370
Localized	White	2004	35-39 years	2.4	111	4600978	22179956
Localized	White	2004	40-44 years	4.2	210	5004073	22479229
Localized	White	2004	45-49 years	9.9	476	4785246	19805793
Localized	White	2004	50-54 years	22.7	957	4223917	17224359
Localized	White	2004	55-59 years	29.7	1075	3614964	13307234
Localized	White	2004	60-64 years	46.0	1242	2702861	10654272
Localized	White	2004	65-69 years	71.7	1499	2089265	9409940
Localized	White	2004	70-74 years	94.1	1692	1798811	8725574
Localized	White	2004	75-79 years	123.3	1971	1598962	7414559
Localized	White	2004	80-84 years	145.7	1797	1233670	4900234
Localized	White	2004	85+ years	140.7	1427	1014079	4259173
Localized	White	2005	00 years	0.0	0	862615	3794901
Localized	White	2005	01-04 years	0.0	0	3379961	15191619
Localized	White	2005	05-09 years	0.0	0	4058998	19919840
Localized	White	2005	10-14 years	0.0	1	4474534	20056779
Localized	White	2005	15-19 years	0.2	8	4388390	19819518
Localized	White	2005	20-24 years	0.2	8	4307500	18257225
Localized	White	2005	25-29 years	0.7	30	4119803	17722067
Localized	White	2005	30-34 years	1.2	52	4172151	19511370
Localized	White	2005	35-39 years	2.6	115	4467097	22179956
Localized	White	2005	40-44 years	5.5	264	4819657	22479229
Localized	White	2005	45-49 years	9.3	440	4724194	19805793
Localized	White	2005	50-54 years	22.6	950	4209617	17224359
Localized	White	2005	55-59 years	30.7	1130	3686168	13307234
Localized	White	2005	60-64 years	48.0	1305	2721115	10654272
Localized	White	2005	65-69 years	68.5	1417	2069871	9409940
Localized	White	2005	70-74 years	95.0	1654	1740886	8725574
Localized	White	2005	75-79 years	118.8	1838	1547429	7414559
Localized	White	2005	80-84 years	140.7	1714	1217884	4900234
Localized	White	2005	85+ years	142.6	1464	1026800	4259173
Localized	White	2006	00 years	0.0	0	875032	3794901
Localized	White	2006	01-04 years	0.0	0	3424520	15191619
Localized	White	2006	05-09 years	0.0	0	4132831	19919840
Localized	White	2006	10-14 years	0.0	1	4502449	20056779
Localized	White	2006	15-19 years	0.1	5	4541038	19819518
Localized	White	2006	20-24 years	0.3	14	4390372	18257225
Localized	White	2006	25-29 years	0.6	24	4311757	17722067
Localized	White	2006	30-34 years	1.4	59	4126837	19511370
Localized	White	2006	35-39 years	2.2	100	4553499	22179956
Localized	White	2006	40-44 years	5.4	262	4807809	22479229
Localized	White	2006	45-49 years	10.1	493	4874511	19805793
Localized	White	2006	50-54 years	22.0	968	4398155	17224359
Localized	White	2006	55-59 years	28.2	1110	3932299	13307234
Localized	White	2006	60-64 years	43.3	1246	2876972	10654272
Localized	White	2006	65-69 years	71.7	1560	2174674	9409940
Localized	White	2006	70-74 years	93.6	1668	1781785	8725574
Localized	White	2006	75-79 years	118.0	1860	1575649	7414559
Localized	White	2006	80-84 years	135.9	1690	1243787	4900234
Localized	White	2006	85+ years	130.3	1418	1088562	4259173
Localized	White	2007	00 years	0.0	0	892329	3794901
Localized	White	2007	01-04 years	0.0	0	3417830	15191619
Localized	White	2007	05-09 years	0.0	0	4136836	19919840
Localized	White	2007	10-14 years	0.0	1	4437520	20056779
Localized	White	2007	15-19 years	0.1	3	4585911	19819518
Localized	White	2007	20-24 years	0.3	13	4382913	18257225
Localized	White	2007	25-29 years	0.7	31	4375040	17722067
Localized	White	2007	30-34 years	1.4	58	4079037	19511370
Localized	White	2007	35-39 years	2.2	101	4507160	22179956
Localized	White	2007	40-44 years	5.6	264	4681258	22479229
Localized	White	2007	45-49 years	9.5	462	4872770	19805793
Localized	White	2007	50-54 years	23.1	1039	4503848	17224359
Localized	White	2007	55-59 years	30.1	1174	3904875	13307234
Localized	White	2007	60-64 years	42.8	1341	3132064	10654272
Localized	White	2007	65-69 years	70.0	1583	2260241	9409940
Localized	White	2007	70-74 years	93.3	1671	1790665	8725574
Localized	White	2007	75-79 years	114.9	1792	1559325	7414559
Localized	White	2007	80-84 years	129.0	1604	1243677	4900234
Localized	White	2007	85+ years	133.1	1502	1128530	4259173
Localized	White	2008	00 years	0.0	0	882607	3794901
Localized	White	2008	01-04 years	0.0	0	3428659	15191619
Localized	White	2008	05-09 years	0.0	0	4170822	19919840
Localized	White	2008	10-14 years	0.0	1	4388054	20056779
Localized	White	2008	15-19 years	0.1	6	4607185	19819518
Localized	White	2008	20-24 years	0.4	18	4386427	18257225
Localized	White	2008	25-29 years	0.8	35	4437044	17722067
Localized	White	2008	30-34 years	1.2	51	4094615	19511370
Localized	White	2008	35-39 years	3.5	156	4432538	22179956
Localized	White	2008	40-44 years	5.5	252	4572565	22479229
Localized	White	2008	45-49 years	9.9	483	4856963	19805793
Localized	White	2008	50-54 years	23.1	1061	4595014	17224359
Localized	White	2008	55-59 years	29.2	1159	3971916	13307234
Localized	White	2008	60-64 years	40.6	1323	3258340	10654272
Localized	White	2008	65-69 years	65.8	1579	2401040	9409940
Localized	White	2008	70-74 years	90.7	1656	1825863	8725574
Localized	White	2008	75-79 years	115.3	1777	1541052	7414559
Localized	White	2008	80-84 years	132.1	1641	1242662	4900234
Localized	White	2008	85+ years	131.1	1528	1165495	4259173
Localized	White	2009	00 years	0.0	0	836281	3794901
Localized	White	2009	01-04 years	0.0	0	3422057	15191619
Localized	White	2009	05-09 years	0.0	0	4217778	19919840
Localized	White	2009	10-14 years	0.0	0	4358065	20056779
Localized	White	2009	15-19 years	0.2	8	4596903	19819518
Localized	White	2009	20-24 years	0.4	18	4418231	18257225
Localized	White	2009	25-29 years	1.0	45	4464662	17722067
Localized	White	2009	30-34 years	1.7	72	4152882	19511370
Localized	White	2009	35-39 years	2.4	106	4333235	22179956
Localized	White	2009	40-44 years	5.6	253	4479391	22479229
Localized	White	2009	45-49 years	10.8	525	4849977	19805793
Localized	White	2009	50-54 years	24.5	1139	4654744	17224359
Localized	White	2009	55-59 years	27.9	1133	4066115	13307234
Localized	White	2009	60-64 years	37.4	1277	3413988	10654272
Localized	White	2009	65-69 years	61.0	1531	2508511	9409940
Localized	White	2009	70-74 years	82.9	1550	1870699	8725574
Localized	White	2009	75-79 years	104.8	1599	1526237	7414559
Localized	White	2009	80-84 years	119.5	1476	1234820	4900234
Localized	White	2009	85+ years	121.0	1455	1202902	4259173
Localized	White	2010	00 years	0.0	0	826433	3794901
Localized	White	2010	01-04 years	0.0	0	3388584	15191619
Localized	White	2010	05-09 years	0.0	0	4247225	19919840
Localized	White	2010	10-14 years	0.0	1	4342057	20056779
Localized	White	2010	15-19 years	0.1	5	4548686	19819518
Localized	White	2010	20-24 years	0.3	15	4467839	18257225
Localized	White	2010	25-29 years	0.9	41	4462875	17722067
Localized	White	2010	30-34 years	1.7	70	4230695	19511370
Localized	White	2010	35-39 years	2.5	105	4215276	22179956
Localized	White	2010	40-44 years	5.7	255	4457378	22479229
Localized	White	2010	45-49 years	9.7	465	4788542	19805793
Localized	White	2010	50-54 years	23.5	1107	4718226	17224359
Localized	White	2010	55-59 years	26.3	1098	4172760	13307234
Localized	White	2010	60-64 years	35.7	1278	3579185	10654272
Localized	White	2010	65-69 years	56.6	1475	2605939	9409940
Localized	White	2010	70-74 years	78.3	1495	1909519	8725574
Localized	White	2010	75-79 years	93.5	1424	1523094	7414559
Localized	White	2010	80-84 years	108.4	1339	1234971	4900234
